GloVe_2_50, 
likewise,1403
both,1058
moreover,1207
aside,1768
furthermore,1247
additionally,1267
and,1250
giving,1045
consequently,1016
similarly,978
HPCA_2_50, 
magic,599
punch,652
tap,611
target,617
ring,598
setting,736
rush,710
chase,720
future,909
ups,626
Word2Vec_2_50, 
likewise,1049
however,901
whereas,859
furthermore,982
and,1026
pocket,857
consequently,892
similarly,1258
thus,927
instead,858
GloVe_2_200, 
likewise,2442
both,2024
well,2068
whereas,2022
furthermore,2213
and,3137
as,2423
accordingly,2041
similarly,2159
with,2100
HPCA_2_200, 
hunter,3789
morgan,3039
owen,3215
lewis,4823
nelson,4110
oliver,5165
kirk,3898
curtis,3266
arnold,4092
harvey,4780
Word2Vec_2_200, 
likewise,4082
presumably,3195
whereas,2692
moreover,3161
furthermore,3223
and,4068
consequently,3249
nevertheless,2779
similarly,3057
the,3123
GloVe_5_50, 
on,1044
for,1220
addition,1056
aside,1051
additionally,1160
and,1688
also,1437
similarly,1172
with,1352
the,1131
HPCA_5_50, 
likewise,1048
being,1281
another,899
furthermore,907
in,991
consequently,883
similarly,1005
while,914
the,1033
to,954
Word2Vec_5_50, 
likewise,1127
another,1262
moreover,1126
addition,1064
furthermore,1327
and,1360
consequently,989
whole,1017
similarly,1008
the,1262
GloVe_5_200, 
likewise,2692
both,2992
well,2856
however,2737
addition,2386
furthermore,2756
and,3484
also,2617
while,2628
the,2453
HPCA_5_200, 
likewise,4146
however,2787
another,3139
moreover,3396
furthermore,3578
and,3863
in,3064
similarly,3298
with,2988
the,4632
Word2Vec_5_200, 
likewise,5087
both,3175
another,2982
moreover,3925
furthermore,4779
and,5826
in,3745
consequently,3637
thus,3244
the,5306
